"max_depth","eta","min_child_weight","subsample","colsample_bytree","correlation"
4,0.05,3,0.8,0.8,0.2957403911891
4,0.05,5,0.9,0.8,0.295657737917313
3,0.1,1,0.9,0.8,0.291725831084265
3,0.1,1,0.9,0.9,0.291281620836194
3,0.1,3,0.8,0.9,0.290765521134364
4,0.03,3,0.7,0.9,0.290483265545817
3,0.1,3,0.8,0.7,0.290421451197183
4,0.03,1,0.7,0.7,0.290326794420758
3,0.1,3,0.9,0.8,0.290265306373198
3,0.1,1,0.7,0.8,0.290228454166921
3,0.1,3,0.9,0.9,0.29009437974761
3,0.1,1,0.8,0.9,0.290010534708421
4,0.03,1,0.8,0.7,0.290001798898582
3,0.1,5,0.7,0.9,0.289879986363784
3,0.1,1,0.8,0.8,0.289851802701605
4,0.03,1,0.7,0.9,0.289782427894535
4,0.03,1,0.9,0.7,0.289435462634442
4,0.03,1,0.8,0.8,0.289421018624632
4,0.03,1,0.7,0.8,0.289396437396371
4,0.03,5,0.8,0.8,0.289252877066551
4,0.03,3,0.7,0.8,0.289112032946546
4,0.03,3,0.8,0.7,0.289105269841127
4,0.03,5,0.8,0.9,0.289089437463754
3,0.1,5,0.9,0.9,0.289086516863921
3,0.1,5,0.8,0.9,0.289085348709502
4,0.03,1,0.8,0.9,0.288983094144203
3,0.1,5,0.8,0.7,0.288884653993114
3,0.1,5,0.9,0.7,0.288876639330687
4,0.03,5,0.9,0.8,0.288772543866044
3,0.1,1,0.9,0.7,0.28872562858857
4,0.03,3,0.8,0.8,0.288722910494857
4,0.03,1,0.9,0.9,0.288671127214497
4,0.03,3,0.9,0.7,0.28863159533512
4,0.03,3,0.7,0.7,0.288629453735393
4,0.03,5,0.9,0.9,0.288558047734964
4,0.03,5,0.9,0.7,0.288550983625003
4,0.03,3,0.9,0.8,0.288538412723264
4,0.03,1,0.9,0.8,0.288413421293558
4,0.03,5,0.8,0.7,0.288407143785942
3,0.1,5,0.7,0.7,0.288356483816107
4,0.03,5,0.7,0.7,0.28834057691124
4,0.03,5,0.7,0.9,0.28829256993998
3,0.1,5,0.8,0.8,0.288234950242227
4,0.03,3,0.8,0.9,0.288130683817095
3,0.1,3,0.8,0.8,0.28808939051367
3,0.1,3,0.7,0.8,0.288029833841927
3,0.1,1,0.8,0.7,0.28799178778837
4,0.03,5,0.7,0.8,0.287975521590536
3,0.1,3,0.9,0.7,0.287562206417255
4,0.03,3,0.9,0.9,0.287506618621717
3,0.1,5,0.7,0.8,0.287449935314052
3,0.1,1,0.7,0.9,0.287372668978698
3,0.1,1,0.7,0.7,0.28735342686669
3,0.1,5,0.9,0.8,0.286989710100757
6,0.01,1,0.9,0.7,0.286513734870975
3,0.1,3,0.7,0.9,0.286212938559623
